"age","anxiety","anxiety_r","artgluctot","attachhome","attachphone","AvgHumidity","avgtemp","avoidance","avoidance_r","cigs","didf","eatdrink","eot","exercise","gluctot","health","hiTemp","kamf","langfamily","language","mintemp","monogamous","networksize","nostalgia","onlineid","riskAvd","romantic","scontrol","sex","Site","smoke","socialdiversity","socialembedded","socTherm","soliTherm","stress"
1992,4.11111111111111,1.36785937993387,5,5,3.55555555555556,82,35.65,3.55555555555556,0.495534822407491,NA,2.36363636363636,1,2.2,2,1,3,3.85714285714286,6.42857142857143,1,2,8,6,20,13,3,3.33333333333333,1,38,1,"Chile",1,6,3,3.2,2.875,45
1993,1.72222222222222,-1.06550748389648,0,5,3.77777777777778,68,36.6,2.22222222222222,-0.73233907382346,NA,2.18181818181818,1,2,2,1,4,3.57142857142857,4.71428571428571,1,2,13,7,45,20,3.54545454545455,3,1,44,2,"Chile",1,9,5,3.4,4.375,30
1995,2.66666666666667,-0.103478723777503,0,4.44444444444444,3,55,36.55,2.88888888888889,-0.118402125707985,NA,3.18181818181818,1,3.2,2,0,3,3.28571428571429,4,1,2,12,6,24,23,2.63636363636364,3.33333333333333,1,49,2,"Chile",1,8,3,3.8,3.375,43
1997,2.94444444444444,0.179470911551607,3,4.33333333333333,2.44444444444444,59,36.585,4.05555555555556,0.955987533494098,0,1.45454545454545,1,2.4,2,5,3,3.28571428571429,4.71428571428571,1,2,6,7,31,12,3,1.33333333333333,1,36,1,"Chile",2,6,4,2.6,2.625,38
1997,3.55555555555556,0.801960109275648,7,3.22222222222222,3,79,36.65,3.05555555555556,0.0350821113208842,NA,2.45454545454545,1,3.4,2,0,4,3.42857142857143,3.71428571428571,1,2,2,6,28,34,3,3,2,36,2,"Chile",1,5,4,3,3.25,49
NA,0,-2.81979522293696,NA,5,3,79,35.6,2.11111111111111,-0.834661898509373,NA,1.81818181818182,NA,1.8,NA,NA,NA,2.71428571428571,4.28571428571429,1,2,2,NA,0,19,2.90909090909091,4,NA,42,NA,"Chile",NA,0,1,3.6,4.125,39
NA,3.05555555555556,0.292650765683251,0,4,1.11111111111111,55,36.7,3,-0.0160793010220719,NA,3,NA,2.8,NA,0,3,1,3.42857142857143,1,2,12,NA,15,12,1,3.66666666666667,NA,42,NA,"Chile",NA,8,2,3,3.75,38
1955,3.5,0.323788526609975,0,3.22222222222222,3.66666666666667,89,36.3,3.77777777777778,1.06147377293191,NA,2.27272727272727,1,1.2,2,0,3,3.14285714285714,3.57142857142857,1,1,1,3,25,14,3.90909090909091,2,1,47,1,"Kassel",2,6,3,3,3.125,30
1959,1.5,-1.38045563551922,0,4.44444444444444,2.11111111111111,NA,36.6,2.72222222222222,-0.124879267403754,NA,2.27272727272727,1,3,2,0,5,2.71428571428571,3.57142857142857,1,1,NA,7,26,9,2,3.66666666666667,1,44,2,"Kassel",2,7,4,2.4,3.125,30
1965,1.33333333333333,-1.52247598236332,0,3.66666666666667,2,NA,35.45,2.61111111111111,-0.249758534807509,NA,2.45454545454545,1,1.2,2,3,4,3.57142857142857,4.28571428571429,1,1,NA,7,26,24,1.36363636363636,3,1,47,1,"Kassel",2,5,2,3.8,2.375,31
1966,3.22222222222222,0.087087948536476,0,4.33333333333333,1,NA,36.63,3.16666666666667,0.374637802211263,NA,1.90909090909091,1,1.6,2,0,3,3,3.28571428571429,1,1,NA,6,23,26,1,2.33333333333333,1,37,2,"Kassel",2,9,2,3.6,2.875,47
1969,3.44444444444444,0.276448410995275,0,3.55555555555556,1.44444444444444,69,36.465,3.22222222222222,0.43707743591314,NA,3.54545454545455,1,2.4,2,NA,1,2.57142857142857,2.57142857142857,1,1,-1,7,25,38,2.09090909090909,2,1,33,2,"Kassel",2,11,3,2.2,2.75,50
1976,2.44444444444444,-0.575673670069321,0,4.55555555555556,1.44444444444444,73,36.5,2.22222222222222,-0.686835970720649,NA,1.36363636363636,1,1.8,2,15,2,3.42857142857143,2.42857142857143,1,1,-4,7,30,23,1.45454545454545,1.66666666666667,1,37,2,"Kassel",2,12,3,3.2,2.625,42
1979,3.5,0.323788526609975,0,4.11111111111111,2.77777777777778,68,35.3,3.55555555555556,0.811715238124403,NA,2.90909090909091,1,1.4,2,0,3,3.28571428571429,5.28571428571429,1,1,4,2,19,18,1.90909090909091,1.66666666666667,1,37,1,"Kassel",2,7,2,2.8,4.125,37
1979,1.44444444444444,-1.42779575113392,0,4.77777777777778,3,54,36.1,2.22222222222222,-0.686835970720649,NA,2.18181818181818,1,1.8,2,0,4,3.85714285714286,3.71428571428571,1,1,5,7,25,31,3,2.33333333333333,1,48,2,"Kassel",2,8,2,3.4,2.75,33
